,id,name,position,team,status,now_cost,total_points,selected_by_percent,news,minutes,starts,points_per_game,goals_scored,expected_goals,expected_goals_per_90,expected_goal_involvements,expected_goal_involvements_per_90,goals_conceded,goals_conceded_per_90,expected_goals_conceded,expected_goals_conceded_per_90,assists,expected_assists,expected_assists_per_90,yellow_cards,saves,saves_per_90,clean_sheets,clean_sheets_per_90,bonus,form,threat,creativity,influence,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order
703,473,George Baldock,DEF,Sheffield Utd,i,3.8,21,4.0,Calf injury - Expected back 01 Jun,968,11,1.6,0,0.03,0.0,0.66,0.06,21,1.95,22.11,2.06,2,0.63,0.06,4,0,0.0,0,0.0,2,0.0,21.0,102.6,173.6,,,
704,474,Chris Basham,DEF,Sheffield Utd,i,3.9,8,0.3,Leg injury - Unknown return date,316,3,1.0,0,0.12,0.03,0.19,0.05,6,1.71,7.12,2.03,0,0.07,0.02,1,0,0.0,0,0.0,0,0.0,14.0,27.4,69.2,,,
705,476,Jayden Bogle,DEF,Sheffield Utd,a,4.5,63,0.1,,2787,32,1.9,3,2.36,0.08,3.5,0.12,79,2.55,57.85,1.87,3,1.14,0.04,9,0,0.0,3,0.1,0,1.5,339.0,183.5,514.4,,,
706,477,Rhian Brewster,FWD,Sheffield Utd,a,4.9,11,0.0,,338,3,0.8,0,0.33,0.09,0.41,0.11,8,2.13,7.82,2.08,0,0.08,0.02,0,0,0.0,0,0.0,0,1.0,85.0,28.3,21.0,,,
708,479,Adam Davies,GKP,Sheffield Utd,a,4.0,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
709,480,John Egan,DEF,Sheffield Utd,d,4.2,1,0.1,Lack of match fitness - 25% chance of playing,482,6,0.2,0,0.17,0.03,0.17,0.03,17,3.17,14.85,2.77,0,0.0,0.0,2,0,0.0,0,0.0,0,0.0,38.0,1.4,91.2,,,
711,482,Wes Foderingham,GKP,Sheffield Utd,a,4.4,70,0.3,,2648,29,2.3,0,0.0,0.0,0.05,0.0,79,2.69,62.03,2.11,0,0.05,0.0,2,133,4.52,1,0.03,7,3.5,0.0,10.0,966.0,,,
712,483,Daniel Jebbison,FWD,Sheffield Utd,a,4.8,1,0.0,,20,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.94,4.23,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,4.0,0.1,0.0,,,
713,484,Max Lowe,DEF,Sheffield Utd,a,4.3,13,0.0,,498,4,1.3,0,0.58,0.1,0.67,0.12,12,2.17,11.1,2.01,1,0.09,0.02,1,0,0.0,0,0.0,0,1.0,18.0,31.9,102.2,,,
714,485,Oliver McBurnie,FWD,Sheffield Utd,a,5.4,66,0.1,,1279,15,3.1,6,6.91,0.49,8.88,0.63,43,3.03,27.74,1.95,3,1.98,0.14,3,0,0.0,1,0.07,9,0.0,501.0,195.9,377.4,1.0,,
716,487,Rhys Norrington-Davies,DEF,Sheffield Utd,i,3.9,2,0.1,Hamstring injury - Expected back 01 Jun,109,2,0.4,0,0.0,0.0,0.0,0.0,6,4.95,2.58,2.13,0,0.0,0.0,1,0,0.0,0,0.0,0,0.0,2.0,11.7,8.2,,,
717,488,Oliver Norwood,MID,Sheffield Utd,a,4.8,42,0.0,,1429,16,1.6,1,1.1,0.07,2.33,0.15,47,2.96,35.98,2.27,0,1.23,0.08,8,0,0.0,0,0.0,3,0.0,82.0,275.3,311.2,2.0,,4.0
718,489,Ben Osborn,MID,Sheffield Utd,d,4.8,38,0.0,Hamstring injury - 75% chance of playing,1359,14,1.6,0,0.22,0.01,1.15,0.07,40,2.65,28.43,1.88,2,0.93,0.06,3,0,0.0,0,0.0,0,0.5,26.0,212.2,191.4,,,
719,490,William Osula,FWD,Sheffield Utd,a,4.2,25,0.8,,778,9,1.2,0,1.64,0.19,1.79,0.21,23,2.66,20.19,2.34,1,0.15,0.02,4,0,0.0,0,0.0,0,0.0,200.0,24.9,27.0,,,
720,576,Jack Robinson,DEF,Sheffield Utd,a,4.3,33,0.1,,2883,31,1.0,1,1.13,0.04,2.06,0.07,83,2.59,62.5,1.95,1,0.93,0.03,10,0,0.0,1,0.03,1,0.5,190.0,162.1,602.8,,,
721,587,Anis Slimane,MID,Sheffield Utd,a,4.7,14,0.0,,409,4,0.9,0,0.97,0.21,1.1,0.24,14,3.08,9.52,2.09,0,0.13,0.03,2,0,0.0,1,0.22,0,0.5,72.0,46.7,41.6,,,
722,592,Yasser Larouci,DEF,Sheffield Utd,a,4.3,10,0.0,,527,6,0.9,0,0.24,0.04,0.29,0.05,11,1.88,13.53,2.31,0,0.05,0.01,1,0,0.0,0,0.0,0,0.5,39.0,27.8,80.8,,,
724,638,Vini de Souza Costa,MID,Sheffield Utd,a,5.0,73,0.0,,2664,29,2.0,1,0.61,0.02,1.07,0.04,80,2.7,60.24,2.04,1,0.46,0.02,3,0,0.0,1,0.03,4,1.5,152.0,101.8,558.4,,,
727,655,Andre Brooks,MID,Sheffield Utd,a,4.4,26,0.0,,932,12,1.3,0,0.49,0.05,0.73,0.07,29,2.8,18.53,1.79,0,0.24,0.02,1,0,0.0,1,0.1,0,1.0,76.0,51.9,88.6,,,
729,663,Gustavo Hamer,MID,Sheffield Utd,a,4.9,108,0.2,,2908,34,3.0,4,3.0,0.09,7.58,0.23,83,2.57,62.07,1.92,7,4.59,0.14,9,0,0.0,2,0.06,5,2.0,294.0,929.8,581.2,,1.0,2.0
730,666,Tom Davies,MID,Sheffield Utd,d,5.0,7,0.0,Lack of match fitness - 25% chance of playing,214,2,0.8,0,0.34,0.14,0.4,0.17,11,4.63,7.43,3.12,0,0.06,0.03,2,0,0.0,0,0.0,0,0.0,48.0,18.1,26.4,,,
732,730,Ryan Oné,MID,Sheffield Utd,a,4.4,1,0.0,,7,0,1.0,0,0.0,0.0,0.0,0.0,2,25.71,1.28,16.46,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.3,0.0,,,
734,759,Sydie Peck,MID,Sheffield Utd,a,4.4,1,0.0,,9,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.12,1.2,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.1,0.0,,,
735,775,Ben Brereton,MID,Sheffield Utd,a,5.0,62,0.2,,1105,14,4.4,6,5.52,0.45,6.58,0.54,37,3.01,23.91,1.95,1,1.07,0.09,3,0,0.0,0,0.0,5,2.0,422.0,124.0,312.2,,,
736,790,Ivo Grbic,GKP,Sheffield Utd,a,4.5,15,0.0,,771,9,1.7,0,0.0,0.0,0.01,0.0,25,2.92,14.32,1.67,0,0.01,0.0,1,37,4.32,0,0.0,0,0.0,0.0,0.0,257.6,,,
737,822,Billy Blacker,FWD,Sheffield Utd,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
738,823,Oliver Arblaster,MID,Sheffield Utd,a,4.5,19,0.0,,942,11,1.6,0,0.02,0.0,0.84,0.08,28,2.68,20.34,1.94,0,0.82,0.08,2,0,0.0,0,0.0,0,1.5,23.0,140.5,155.4,,,
739,827,Dovydas Sasnauskas,DEF,Sheffield Utd,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
740,828,Sam Curtis,DEF,Sheffield Utd,a,4.0,1,0.0,,27,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.27,0.9,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,0.3,2.2,,,
741,857,Owen Hampson,MID,Sheffield Utd,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
742,450,Brennan Johnson,MID,Tottenham,a,5.8,131,2.0,,2317,26,3.7,5,10.36,0.4,14.65,0.57,42,1.63,43.97,1.71,12,4.3,0.17,3,0,0.0,5,0.19,9,4.3,782.0,624.3,554.4,,,
743,491,Brandon Austin,GKP,Tottenham,a,3.9,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
744,492,Rodrigo Bentancur,MID,Tottenham,a,5.4,32,0.0,,997,13,1.4,1,2.01,0.18,3.06,0.27,25,2.26,19.98,1.8,1,1.05,0.09,7,0,0.0,1,0.09,0,1.3,156.0,174.9,193.0,,,
745,493,Yves Bissouma,MID,Tottenham,i,5.0,44,0.3,Knee injury - Expected back 01 Jun,2070,26,1.6,0,1.18,0.05,2.85,0.12,35,1.52,41.3,1.8,0,1.67,0.07,8,0,0.0,7,0.3,0,0.7,140.0,279.4,403.0,,4.0,
746,494,Bryan Gil Salvatierra,MID,Tottenham,a,4.9,12,0.0,,200,2,1.1,0,0.67,0.3,0.91,0.41,11,4.95,7.19,3.24,0,0.24,0.11,0,0,0.0,0,0.0,0,0.0,59.0,70.1,28.6,,,
747,495,Ben Davies,DEF,Tottenham,i,4.3,34,0.4,Calf injury - Expected back 01 Jun,1085,12,2.0,1,2.34,0.19,2.91,0.24,21,1.74,22.43,1.86,2,0.57,0.05,2,0,0.0,1,0.08,0,0.0,124.0,81.0,294.8,,,
749,497,Emerson Leite de Souza Junior,DEF,Tottenham,a,4.3,27,0.8,,1152,11,1.2,1,0.22,0.02,1.08,0.09,31,2.42,28.71,2.24,0,0.86,0.07,4,0,0.0,0,0.0,4,0.3,55.0,119.5,316.0,,,
750,498,Fraser Forster,GKP,Tottenham,i,3.8,0,1.6,Foot injury - Expected back 01 Jun,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
751,499,Pierre-Emile Højbjerg,MID,Tottenham,a,5.1,39,0.3,,1289,8,1.1,0,0.68,0.05,2.24,0.16,28,1.96,26.52,1.85,0,1.57,0.11,4,0,0.0,1,0.07,0,1.3,108.0,205.8,282.2,,3.0,
753,501,Dejan Kulusevski,MID,Tottenham,a,6.7,130,2.1,,2759,31,3.6,8,4.95,0.16,11.31,0.37,46,1.5,49.32,1.61,3,6.37,0.21,7,0,0.0,8,0.26,14,6.3,953.0,950.4,698.8,,,3.0
755,503,Giovani Lo Celso,MID,Tottenham,d,4.8,47,0.1,Knock - 75% chance of playing,491,4,2.1,2,0.54,0.1,2.33,0.43,12,2.2,12.46,2.28,2,1.79,0.33,2,0,0.0,1,0.18,6,0.7,110.0,262.8,225.8,,,
756,504,James Maddison,MID,Tottenham,a,7.8,117,10.0,,2137,26,4.2,4,6.53,0.28,12.74,0.54,31,1.31,32.54,1.37,11,6.21,0.26,5,0,0.0,7,0.29,9,4.0,605.0,979.5,630.4,2.0,2.0,1.0
758,506,Pedro Porro,DEF,Tottenham,a,5.9,136,22.4,,3090,35,3.9,3,2.92,0.09,9.1,0.27,54,1.57,58.42,1.7,8,6.18,0.18,3,0,0.0,7,0.2,20,8.0,365.0,877.4,839.0,,1.0,4.0
760,509,Richarlison de Andrade,MID,Tottenham,i,6.8,122,2.5,Calf injury - Expected back 01 Jun,1481,18,4.4,11,9.49,0.58,10.91,0.67,18,1.09,25.59,1.56,4,1.42,0.09,3,0,0.0,7,0.43,7,0.0,758.0,208.4,560.6,2.0,,
762,511,Cristian Romero,DEF,Tottenham,a,5.1,107,12.2,,2790,33,3.2,5,3.25,0.1,4.66,0.15,46,1.48,52.55,1.7,0,1.41,0.05,7,0,0.0,7,0.23,15,2.7,252.0,161.9,841.8,,,
764,513,Pape Matar Sarr,MID,Tottenham,a,4.4,86,1.6,,2063,27,2.5,3,3.17,0.14,5.26,0.23,27,1.18,34.83,1.52,3,2.09,0.09,9,0,0.0,9,0.39,4,1.7,317.0,373.3,406.0,,,
765,514,Ryan Sessegnon,DEF,Tottenham,i,4.4,0,0.0,Hamstring injury - Expected back 01 Jun,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
766,515,Oliver Skipp,MID,Tottenham,a,4.5,22,0.1,,691,5,1.0,0,0.77,0.1,1.27,0.17,17,2.21,17.25,2.25,0,0.5,0.07,3,0,0.0,0,0.0,0,1.0,65.0,126.2,92.0,,,
767,516,Son Heung-min,MID,Tottenham,a,10.0,213,34.4,,2934,34,6.1,17,11.49,0.35,19.36,0.59,51,1.56,53.77,1.65,10,7.87,0.24,1,0,0.0,8,0.25,25,3.7,1131.0,921.9,993.2,1.0,,
770,519,Destiny Udogie,DEF,Tottenham,i,4.9,79,5.2,Thigh injury - Expected back 01 Jun,2391,28,2.8,2,2.42,0.09,4.78,0.18,43,1.62,48.7,1.83,3,2.36,0.09,5,0,0.0,5,0.19,8,0.0,279.0,357.9,534.8,,,
771,520,Guglielmo Vicario,GKP,Tottenham,a,5.3,112,9.4,,3420,38,2.9,0,0.0,0.0,0.0,0.0,61,1.61,63.58,1.67,0,0.0,0.0,2,110,2.89,7,0.18,9,3.3,0.0,0.0,974.2,,,
772,521,Alfie Whiteman,GKP,Tottenham,a,3.9,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
773,583,Manor Solomon,MID,Tottenham,i,5.1,14,0.1,Knee injury - Expected back 01 Jun,196,2,2.8,0,0.41,0.19,1.16,0.53,2,0.92,1.79,0.82,2,0.75,0.34,1,0,0.0,0,0.0,2,0.0,61.0,144.3,73.4,,,
774,639,Micky van de Ven,DEF,Tottenham,a,4.4,81,3.7,,2341,27,3.0,3,0.61,0.02,0.94,0.03,38,1.46,37.56,1.44,0,0.33,0.01,5,0,0.0,5,0.19,10,6.0,85.0,56.7,561.6,,,
775,640,Dane Scarlett,FWD,Tottenham,a,4.5,4,0.1,,19,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.02,0.09,0,0.0,0.0,0,0,0.0,0,0.0,0,0.7,6.0,0.4,2.0,,,
