,id,name,position,team,status,now_cost,total_points,selected_by_percent,news,minutes,starts,points_per_game,goals_scored,expected_goals,expected_goals_per_90,expected_goal_involvements,expected_goal_involvements_per_90,goals_conceded,goals_conceded_per_90,expected_goals_conceded,expected_goals_conceded_per_90,assists,expected_assists,expected_assists_per_90,yellow_cards,saves,saves_per_90,clean_sheets,clean_sheets_per_90,bonus,form,threat,creativity,influence,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order
1,2,Cédric Alves Soares,DEF,Arsenal,a,3.8,3,0.5,,59,0,1.0,0,0.0,0.0,0.02,0.03,0,0.0,0.39,0.59,0,0.02,0.03,0,0,0.0,0,0.0,0,0.0,0.0,4.3,2.0,,,
2,3,Mohamed Elneny,MID,Arsenal,a,4.4,6,0.1,,25,0,2.0,0,0.08,0.29,0.09,0.33,0,0.0,0.13,0.47,1,0.01,0.04,0,0,0.0,0,0.0,0,0.0,10.0,2.1,4.0,,,
3,4,Fábio Ferreira Vieira,MID,Arsenal,a,5.4,24,0.1,,290,2,2.2,1,1.25,0.39,1.89,0.59,2,0.62,1.83,0.57,3,0.64,0.2,0,0,0.0,1,0.31,0,0.0,85.0,88.8,82.8,4.0,,
4,5,Gabriel dos Santos Magalhães,DEF,Arsenal,a,5.4,149,28.3,,3042,34,4.1,3,4.48,0.13,5.13,0.15,26,0.77,26.18,0.77,1,0.65,0.02,4,0,0.0,16,0.47,8,4.0,379.0,121.9,675.8,,,
5,6,Kai Havertz,MID,Arsenal,a,7.6,180,11.9,,2627,30,4.9,13,12.36,0.42,16.23,0.55,22,0.75,21.03,0.72,10,3.88,0.13,11,0,0.0,16,0.55,15,6.0,1027.0,613.4,763.2,3.0,,
6,8,Gabriel Fernando de Jesus,FWD,Arsenal,a,7.7,85,2.6,,1470,17,3.1,4,6.27,0.38,9.53,0.58,11,0.67,11.67,0.71,7,3.26,0.2,6,0,0.0,11,0.67,10,1.0,756.0,403.0,364.8,,,
7,9,Jorge Luiz Frello Filho,MID,Arsenal,a,5.3,44,0.2,,913,10,1.8,0,0.1,0.01,1.87,0.18,11,1.08,8.42,0.83,2,1.77,0.17,1,0,0.0,4,0.39,1,0.5,16.0,187.8,165.4,,,
8,10,Jakub Kiwior,DEF,Arsenal,a,4.0,67,0.6,,942,11,3.4,1,0.74,0.07,1.34,0.13,8,0.76,5.15,0.49,3,0.6,0.06,1,0,0.0,6,0.57,1,0.5,90.0,106.9,228.8,,,
10,12,Gabriel Martinelli Silva,MID,Arsenal,a,7.5,118,4.2,,2010,24,3.4,6,6.36,0.28,11.53,0.51,23,1.03,14.88,0.67,5,5.18,0.23,1,0,0.0,10,0.45,6,1.5,795.0,717.1,500.4,,,
11,13,Eddie Nketiah,FWD,Arsenal,a,5.0,71,3.1,,1065,10,2.6,5,4.65,0.39,5.18,0.43,10,0.85,10.21,0.86,4,0.53,0.04,3,0,0.0,6,0.51,5,0.0,417.0,136.3,235.0,,,
12,14,Martin Ødegaard,MID,Arsenal,a,8.6,186,18.0,,3098,35,5.3,8,7.53,0.22,17.69,0.52,23,0.67,25.26,0.73,11,10.16,0.3,2,0,0.0,19,0.55,26,6.5,757.0,1499.4,910.4,2.0,1.0,3.0
13,15,Thomas Partey,MID,Arsenal,a,4.8,24,0.1,,785,9,1.7,0,0.43,0.05,1.01,0.12,5,0.57,8.45,0.97,0,0.58,0.07,3,0,0.0,5,0.57,0,2.0,37.0,122.9,117.6,,,
15,17,Aaron Ramsdale,GKP,Arsenal,a,4.5,20,5.4,,540,6,3.3,0,0.0,0.0,0.01,0.0,5,0.83,5.81,0.97,0,0.01,0.0,0,9,1.5,2,0.33,0,0.0,0.0,0.0,73.2,,,
17,19,Bukayo Saka,MID,Arsenal,d,8.8,226,49.2,Knock - 75% chance of playing,2922,35,6.5,16,15.4,0.47,26.29,0.81,27,0.83,25.66,0.79,12,10.9,0.34,4,0,0.0,16,0.49,29,1.0,1342.0,1319.8,1093.8,1.0,,1.0
18,20,William Saliba,DEF,Arsenal,a,5.9,164,39.1,,3420,38,4.3,2,1.7,0.04,2.6,0.06,29,0.76,28.32,0.75,1,0.9,0.02,4,0,0.0,18,0.47,13,5.5,140.0,152.1,697.2,,,
19,22,Emile Smith Rowe,MID,Arsenal,a,5.3,25,0.1,,343,3,1.9,0,1.86,0.49,2.26,0.59,3,0.79,2.1,0.55,2,0.4,0.1,0,0,0.0,3,0.79,0,0.5,128.0,72.2,62.4,,,
21,25,Takehiro Tomiyasu,DEF,Arsenal,a,4.5,70,0.5,,1140,10,3.2,2,1.74,0.14,2.42,0.19,10,0.79,14.03,1.11,1,0.68,0.05,0,0,0.0,6,0.47,4,7.5,143.0,141.8,247.0,,,
22,26,Leandro Trossard,MID,Arsenal,a,6.6,138,3.6,,1633,18,4.1,12,8.29,0.46,11.25,0.62,10,0.55,13.46,0.74,2,2.96,0.16,2,0,0.0,12,0.66,11,6.5,746.0,384.7,563.6,,,
23,29,Benjamin White,DEF,Arsenal,a,6.1,182,23.3,,2987,35,4.9,4,1.27,0.04,4.93,0.15,26,0.78,24.95,0.75,5,3.66,0.11,8,0,0.0,18,0.54,14,4.0,234.0,589.4,765.8,,,
25,31,Oleksandr Zinchenko,DEF,Arsenal,a,5.0,104,5.1,,1717,20,3.9,1,0.6,0.03,3.25,0.17,15,0.79,12.33,0.65,2,2.65,0.14,2,0,0.0,9,0.47,16,0.5,133.0,474.8,395.4,,,
26,113,David Raya Martin,GKP,Arsenal,a,5.3,135,11.7,,2880,32,4.2,0,0.0,0.0,0.04,0.0,24,0.75,22.51,0.7,0,0.04,0.0,2,46,1.44,16,0.5,6,3.5,0.0,0.0,413.0,,,
27,540,Declan Rice,MID,Arsenal,a,5.5,165,6.2,,3225,37,4.3,7,3.53,0.1,8.62,0.24,28,0.78,27.08,0.76,9,5.09,0.14,5,0,0.0,17,0.47,17,2.0,451.0,745.3,959.4,,2.0,2.0
28,578,Reiss Nelson,MID,Arsenal,a,4.8,16,0.0,,256,1,1.1,0,0.18,0.06,0.61,0.21,1,0.35,2.18,0.77,0,0.43,0.15,1,0,0.0,1,0.35,0,0.0,39.0,87.7,42.8,,,4.0
29,585,Jurriën Timber,DEF,Arsenal,a,4.6,0,0.4,,70,1,0.0,0,0.0,0.0,0.02,0.03,0,0.0,0.28,0.36,0,0.02,0.03,2,0,0.0,0,0.0,0,0.0,2.0,4.7,5.8,,,
30,646,Karl Hein,GKP,Arsenal,a,4.0,0,0.1,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
32,736,Reuell Walters,DEF,Arsenal,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
34,764,Myles Lewis-Skelly,MID,Arsenal,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
35,772,Ethan Nwaneri,MID,Arsenal,a,4.5,1,0.0,,13,0,1.0,0,0.0,0.0,0.05,0.35,0,0.0,0.13,0.9,0,0.05,0.35,0,0,0.0,0,0.0,0,0.0,4.0,12.3,2.0,,,
36,815,Mauro Bandeira,MID,Arsenal,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
37,817,James Sweet,DEF,Arsenal,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
38,32,Alexandre Moreno Lopera,DEF,Aston Villa,d,4.9,49,1.1,Knock - 75% chance of playing,1024,11,2.3,2,1.11,0.1,2.09,0.19,20,1.76,18.5,1.63,0,0.98,0.09,2,0,0.0,3,0.26,5,0.0,152.0,156.9,217.8,,,
39,34,Leon Bailey,MID,Aston Villa,a,5.4,148,3.1,,2063,22,4.2,10,6.29,0.27,13.46,0.58,32,1.4,36.17,1.58,11,7.17,0.31,5,0,0.0,5,0.22,11,1.0,623.0,707.1,663.2,,4.0,3.0
40,35,Emiliano Buendía Stati,MID,Aston Villa,i,5.7,0,0.0,Knee injury - Expected back 01 Jun,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
41,36,Matty Cash,DEF,Aston Villa,i,4.5,64,9.9,Calf injury - Expected back 01 Jun,2138,23,2.2,2,4.41,0.19,6.88,0.29,36,1.52,36.78,1.55,2,2.47,0.1,8,0,0.0,3,0.13,4,0.0,378.0,231.8,465.2,,,
42,37,Calum Chambers,DEF,Aston Villa,a,3.8,6,2.2,,149,1,1.2,0,0.0,0.0,0.01,0.01,6,3.62,4.89,2.95,1,0.01,0.01,1,0,0.0,0,0.0,0,2.0,0.0,12.2,39.0,,,
46,41,Diego Carlos Santos Silva,DEF,Aston Villa,a,4.4,55,0.5,,1809,20,2.0,0,1.95,0.1,2.3,0.12,36,1.79,33.17,1.65,0,0.35,0.02,4,0,0.0,6,0.3,1,0.5,100.0,59.8,370.4,,,
47,42,Lucas Digne,DEF,Aston Villa,a,4.6,85,3.1,,2405,27,2.6,1,0.99,0.04,4.48,0.17,41,1.53,41.65,1.56,4,3.49,0.13,7,0,0.0,6,0.22,5,0.0,200.0,601.7,448.4,,2.0,4.0
48,43,Douglas Luiz Soares de Paulo,MID,Aston Villa,a,5.4,148,4.8,,2994,35,4.2,9,6.69,0.2,11.55,0.35,57,1.71,52.79,1.59,5,4.86,0.15,12,0,0.0,6,0.18,25,1.5,381.0,867.0,761.8,1.0,1.0,1.0
49,44,Jhon Durán,FWD,Aston Villa,a,5.0,50,0.2,,461,3,2.2,5,2.04,0.4,2.18,0.43,12,2.34,11.16,2.18,1,0.15,0.03,5,0,0.0,0,0.0,7,7.0,165.0,55.2,190.2,,,
50,45,Kortney Hause,DEF,Aston Villa,a,3.9,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
51,46,Tim Iroegbunam,MID,Aston Villa,a,4.4,10,0.0,,157,1,1.1,0,0.0,0.0,0.0,0.0,7,4.01,4.95,2.84,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,4.0,18.6,,,
52,47,Boubacar Kamara,MID,Aston Villa,i,5.0,40,0.1,Knee injury - Expected back 14 Sep,1653,20,2.0,0,0.13,0.01,1.52,0.09,22,1.2,24.68,1.34,1,1.39,0.08,7,0,0.0,7,0.38,1,0.0,44.0,292.7,256.2,,,
53,48,Ezri Konsa Ngoyo,DEF,Aston Villa,a,4.5,91,2.2,,3069,35,2.6,1,2.56,0.08,3.57,0.11,54,1.58,52.28,1.53,1,1.01,0.03,5,0,0.0,7,0.21,7,0.5,223.0,170.6,554.4,,,
54,49,Emiliano Martínez Romero,GKP,Aston Villa,a,5.2,115,10.5,,3015,34,3.4,0,0.0,0.0,0.01,0.0,48,1.43,49.87,1.49,0,0.01,0.0,4,95,2.84,8,0.24,19,0.0,0.0,20.0,802.0,,,
55,50,John McGinn,MID,Aston Villa,a,5.3,119,0.9,,3000,35,3.4,6,5.01,0.15,10.0,0.3,54,1.62,49.85,1.5,5,4.99,0.15,9,0,0.0,7,0.21,9,1.0,360.0,690.7,640.4,,3.0,2.0
56,51,Tyrone Mings,DEF,Aston Villa,i,4.1,0,1.0,Knee injury - Expected back 01 Jun,30,1,0.0,0,0.01,0.03,0.17,0.51,2,6.0,1.08,3.24,0,0.16,0.48,0,0,0.0,0,0.0,0,0.0,5.0,13.0,3.6,,,
57,53,Robin Olsen,GKP,Aston Villa,a,3.9,17,0.6,,405,4,3.4,0,0.0,0.0,0.0,0.0,13,2.89,10.03,2.23,0,0.0,0.0,0,21,4.67,0,0.0,3,0.5,0.0,0.0,194.6,,,
59,55,Jacob Ramsey,MID,Aston Villa,i,5.9,29,0.1,Toe Injury - Expected back 01 Jun,848,8,1.8,1,2.09,0.22,3.47,0.37,12,1.27,12.85,1.36,1,1.38,0.15,2,0,0.0,0,0.0,0,0.0,182.0,159.3,124.0,,,
62,58,Youri Tielemans,MID,Aston Villa,i,5.6,77,0.4,Knock - Expected back 01 Jun,1613,17,2.4,2,1.24,0.07,3.22,0.18,27,1.51,31.07,1.73,6,1.98,0.11,3,0,0.0,4,0.22,2,4.0,136.0,325.4,369.2,,,
64,60,Ollie Watkins,FWD,Aston Villa,a,8.9,228,35.9,,3222,37,6.2,19,16.74,0.47,20.76,0.58,56,1.56,55.05,1.54,18,4.02,0.11,4,0,0.0,7,0.2,29,3.5,1420.0,588.5,1024.6,2.0,,
66,584,Pau Torres,DEF,Aston Villa,a,4.6,85,2.8,,2462,27,2.9,2,0.96,0.04,1.67,0.07,37,1.35,40.0,1.46,0,0.71,0.03,1,0,0.0,6,0.22,4,0.5,135.0,150.6,479.4,,,
67,599,Moussa Diaby,MID,Aston Villa,a,6.3,142,5.8,,2168,25,3.7,6,7.4,0.31,11.64,0.49,40,1.66,35.75,1.48,11,4.24,0.18,1,0,0.0,8,0.33,10,3.5,675.0,617.8,515.4,,,
68,618,Omari Kellyman,MID,Aston Villa,a,4.5,2,0.0,,35,0,1.0,0,0.04,0.1,0.04,0.1,1,2.57,1.03,2.65,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,2.0,0.5,2.6,,,
70,672,Nicolò Zaniolo,MID,Aston Villa,i,5.4,34,0.0,Foot injury - Expected back 01 Jul,824,9,1.4,2,2.67,0.29,3.37,0.37,13,1.42,14.17,1.55,0,0.7,0.08,7,0,0.0,2,0.22,0,0.5,357.0,120.1,146.8,,,
72,699,Clément Lenglet,DEF,Aston Villa,a,4.5,24,0.2,,1153,14,1.7,0,0.81,0.06,1.33,0.1,27,2.11,23.45,1.83,1,0.52,0.04,3,0,0.0,2,0.16,0,-0.5,103.0,41.8,250.6,,,
73,765,Sam Proctor,GKP,Aston Villa,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
75,778,James Wright,GKP,Aston Villa,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
76,793,Kaine Kesler-Hayden,DEF,Aston Villa,a,4.0,3,0.0,,5,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.11,1.98,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,0.0,0.0,,,
77,803,Morgan Rogers,MID,Aston Villa,i,5.0,35,0.0,Knock - Expected back 01 Jun,636,8,3.2,3,1.35,0.19,1.68,0.24,13,1.84,14.55,2.06,1,0.33,0.05,3,0,0.0,2,0.28,0,0.0,150.0,118.4,177.8,,,
78,818,Joe Gauci,GKP,Aston Villa,a,3.9,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
79,854,Finley Munroe,DEF,Aston Villa,a,4.0,1,0.0,,3,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.5,0.0,1.0,0.0,,,
80,865,Kadan Young,MID,Aston Villa,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
81,866,Lander Emery,GKP,Aston Villa,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
83,63,Philip Billing,MID,Bournemouth,a,5.1,60,0.3,,1385,13,2.1,2,2.53,0.16,4.64,0.3,36,2.34,29.25,1.9,3,2.11,0.14,3,0,0.0,2,0.13,3,0.5,267.0,313.5,304.2,,1.0,
85,65,Ryan Christie,MID,Bournemouth,a,5.0,90,0.1,,2908,35,2.4,0,2.49,0.08,7.86,0.25,56,1.73,48.61,1.5,5,5.37,0.17,6,0,0.0,8,0.25,5,2.5,351.0,780.2,620.2,,,4.0
86,66,Lewis Cook,MID,Bournemouth,a,4.8,77,0.1,,2787,32,2.3,0,0.42,0.01,3.34,0.1,51,1.65,50.3,1.62,3,2.92,0.09,5,0,0.0,8,0.26,5,2.0,67.0,681.9,520.2,,,2.0
88,68,Ryan Fredericks,DEF,Bournemouth,i,4.3,0,0.0,Calf injury - Expected back 01 Jun,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
89,69,James Hill,DEF,Bournemouth,a,4.0,5,0.1,,74,1,1.0,0,0.0,0.0,0.01,0.01,1,1.22,1.34,1.63,0,0.01,0.01,0,0,0.0,0,0.0,0,0.0,0.0,2.2,32.6,,,
90,70,Lloyd Kelly,DEF,Bournemouth,a,4.5,48,0.1,,1553,17,2.1,0,0.34,0.02,1.11,0.06,32,1.85,25.04,1.45,1,0.77,0.04,2,0,0.0,4,0.23,5,1.0,48.0,141.8,279.0,,,
92,72,Justin Kluivert,MID,Bournemouth,a,4.6,100,0.7,,1910,26,3.1,7,5.76,0.27,7.44,0.35,23,1.08,30.07,1.42,1,1.68,0.08,5,0,0.0,11,0.52,2,2.0,619.0,283.2,362.2,,4.0,
95,75,Chris Mepham,DEF,Bournemouth,d,4.3,16,0.1,Illness - 50% chance of playing,613,6,1.6,0,0.09,0.01,0.26,0.03,16,2.35,10.34,1.52,1,0.17,0.02,2,0,0.0,1,0.15,0,0.0,27.0,40.0,142.6,,,
97,77,Norberto Murara Neto,GKP,Bournemouth,a,4.6,110,4.2,,2880,32,3.4,0,0.0,0.0,0.01,0.0,55,1.72,49.66,1.55,0,0.01,0.0,5,113,3.53,7,0.22,14,1.0,0.0,0.0,875.2,,,
98,78,Dango Ouattara,MID,Bournemouth,a,4.7,56,0.0,,1214,12,1.9,1,2.65,0.2,3.75,0.28,24,1.78,21.13,1.57,2,1.1,0.08,3,0,0.0,5,0.37,3,1.5,332.0,245.4,298.4,,,
100,80,Darren Randolph,GKP,Bournemouth,a,3.9,0,0.4,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
102,82,Antoine Semenyo,FWD,Bournemouth,a,4.5,107,2.0,,2099,25,3.2,8,4.69,0.2,6.87,0.29,33,1.41,34.41,1.48,4,2.19,0.09,6,0,0.0,8,0.34,14,1.5,748.0,411.2,506.8,,,
103,83,Marcos Senesi,DEF,Bournemouth,a,4.4,102,2.4,,2239,26,3.3,4,1.98,0.08,4.25,0.17,44,1.77,40.83,1.64,5,2.27,0.09,13,0,0.0,6,0.24,13,2.0,147.0,311.2,735.0,,,
104,84,Adam Smith,DEF,Bournemouth,a,4.4,80,0.5,,2148,25,2.9,0,0.05,0.0,1.55,0.06,33,1.38,33.02,1.38,3,1.5,0.06,6,0,0.0,8,0.34,4,3.0,27.0,296.5,336.4,,,
105,85,Dominic Solanke,FWD,Bournemouth,a,6.9,175,17.8,,3325,37,4.6,19,19.64,0.53,21.75,0.59,61,1.65,56.58,1.53,3,2.11,0.06,3,0,0.0,10,0.27,20,3.5,1348.0,479.6,902.0,1.0,,
106,86,Marcus Tavernier,MID,Bournemouth,a,5.0,89,0.3,,2118,25,3.0,3,3.88,0.16,8.12,0.34,38,1.61,32.42,1.38,4,4.24,0.18,3,0,0.0,8,0.34,5,1.0,460.0,649.4,468.4,,2.0,1.0
108,88,Mark Travers,GKP,Bournemouth,a,4.0,19,0.3,,360,4,4.8,0,0.0,0.0,0.0,0.0,5,1.25,6.96,1.74,0,0.0,0.0,0,13,3.25,2,0.5,2,0.5,0.0,0.0,92.6,,,
109,89,Illia Zabarnyi,DEF,Bournemouth,a,4.4,84,1.9,,3330,37,2.3,1,1.13,0.03,1.68,0.04,67,1.81,58.38,1.58,0,0.55,0.01,5,0,0.0,8,0.22,3,1.0,117.0,111.1,686.0,,,
110,595,Milos Kerkez,DEF,Bournemouth,a,4.4,59,0.3,,1966,22,2.1,0,1.32,0.06,2.38,0.11,37,1.69,36.85,1.69,2,1.06,0.05,4,0,0.0,6,0.27,1,0.0,150.0,216.5,310.0,,,
111,607,Ionuț Radu,GKP,Bournemouth,a,4.3,2,0.1,,180,2,1.0,0,0.0,0.0,0.0,0.0,7,3.5,2.76,1.38,0,0.0,0.0,0,5,2.5,0,0.0,0,0.0,0.0,0.0,33.0,,,
113,643,Max Aarons,DEF,Bournemouth,a,4.4,28,0.1,,1233,13,1.4,0,0.04,0.0,0.93,0.06,35,2.55,26.75,1.95,1,0.89,0.06,1,0,0.0,2,0.15,0,0.5,27.0,114.0,179.6,,,
114,644,Alex Scott,MID,Bournemouth,a,4.9,41,0.0,,1003,11,1.8,1,0.82,0.07,1.88,0.17,25,2.24,17.89,1.61,1,1.06,0.1,3,0,0.0,3,0.27,3,1.0,116.0,294.7,197.0,,3.0,3.0
115,673,Tyler Adams,MID,Bournemouth,a,4.9,5,0.0,,118,1,1.7,0,0.0,0.0,0.03,0.02,3,2.29,1.81,1.38,0,0.03,0.02,0,0,0.0,0,0.0,1,0.5,10.0,14.1,24.6,,,
116,705,Luis Sinisterra,MID,Bournemouth,i,5.5,43,0.0,Hamstring injury - Expected back 01 Jun,685,7,2.1,2,2.62,0.34,3.65,0.48,18,2.36,11.39,1.5,2,1.03,0.14,0,0,0.0,1,0.13,2,0.0,343.0,251.4,221.4,,,
117,799,Romain Faivre,MID,Bournemouth,a,5.0,4,0.0,,37,0,0.8,0,0.15,0.36,0.18,0.43,1,2.43,0.14,0.34,0,0.03,0.07,1,0,0.0,0,0.0,0,0.0,13.0,2.5,5.0,,,
118,802,Max Kinsey,DEF,Bournemouth,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
119,804,Enes Ünal,FWD,Bournemouth,a,5.0,40,0.0,,317,2,2.5,2,2.84,0.81,2.97,0.85,9,2.56,4.49,1.27,4,0.13,0.04,1,0,0.0,1,0.28,3,3.0,242.0,58.6,142.4,,,
120,811,Dominic Sadi,MID,Bournemouth,a,4.5,1,0.0,,1,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
121,849,Michael Dacosta Gonzalez,MID,Bournemouth,a,4.5,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
122,855,Callan McKenna,GKP,Bournemouth,a,4.0,0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
123,90,Kristoffer Ajer,DEF,Brentford,a,4.4,68,0.7,,1826,21,2.4,2,1.22,0.06,3.9,0.19,33,1.63,29.41,1.45,1,2.68,0.13,5,0,0.0,5,0.25,3,3.0,223.0,166.6,406.8,,,
124,91,Ellery Balcombe,GKP,Brentford,a,3.9,0,0.2,,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,,
125,92,Shandon Baptiste,MID,Brentford,a,4.3,19,0.7,,222,2,1.9,1,0.89,0.36,1.25,0.51,5,2.03,3.21,1.3,1,0.36,0.15,1,0,0.0,0,0.0,0,0.0,60.0,54.8,92.4,,,
129,96,Nathan Collins,DEF,Brentford,d,4.5,84,0.8,Knock - 75% chance of playing,2649,29,2.6,1,1.59,0.05,2.54,0.08,51,1.73,41.61,1.41,1,0.95,0.03,3,0,0.0,7,0.24,8,1.0,180.0,151.5,653.8,,,
131,98,Mikkel Damsgaard,MID,Brentford,a,4.8,45,0.0,,829,7,2.0,0,0.76,0.08,1.69,0.18,9,0.98,10.11,1.1,4,0.93,0.1,2,0,0.0,5,0.54,0,2.0,103.0,179.1,162.6,,,
132,99,Josh Dasilva,MID,Brentford,i,4.7,3,0.0,Knee injury - Expected back 01 Jun,22,0,1.0,0,0.0,0.0,0.23,0.94,0,0.0,0.1,0.41,0,0.23,0.94,0,0,0.0,0,0.0,0,0.0,14.0,15.4,6.8,4.0,,4.0
134,101,Mark Flekken,GKP,Brentford,a,4.7,119,4.5,,3285,37,3.2,0,0.0,0.0,0.14,0.0,63,1.73,54.01,1.48,1,0.14,0.0,3,115,3.15,7,0.19,12,2.0,0.0,40.3,921.2,,,
136,103,Rico Henry,DEF,Brentford,i,4.2,13,0.8,Knee injury - Expected back 01 Jun,401,5,2.6,0,0.07,0.02,0.97,0.22,5,1.12,5.12,1.15,1,0.9,0.2,1,0,0.0,1,0.22,0,0.0,17.0,67.9,72.8,,,
137,104,Aaron Hickey,DEF,Brentford,i,4.3,17,0.1,Hamstring injury - Expected back 01 Jun,713,9,1.9,0,0.2,0.03,0.33,0.05,12,1.51,10.2,1.29,0,0.13,0.02,5,0,0.0,2,0.25,0,0.0,37.0,28.4,66.6,,,
138,105,Vitaly Janelt,MID,Brentford,a,5.2,93,0.1,,3054,37,2.4,1,1.82,0.05,5.26,0.15,52,1.53,47.65,1.4,4,3.44,0.1,8,0,0.0,9,0.27,1,5.0,285.0,562.5,503.4,,,
139,106,Mathias Jensen,MID,Brentford,a,5.2,98,0.7,,2201,27,3.1,3,0.71,0.03,5.6,0.23,45,1.84,36.36,1.49,4,4.89,0.2,5,0,0.0,9,0.37,10,0.5,135.0,689.3,481.2,,3.0,2.0
140,107,Keane Lewis-Potter,MID,Brentford,a,4.7,73,0.1,,1428,15,2.4,3,6.42,0.4,8.07,0.5,29,1.83,20.21,1.27,2,1.66,0.1,0,0,0.0,6,0.38,1,1.5,573.0,203.8,280.0,,,
141,108,Bryan Mbeumo,MID,Brentford,a,6.8,127,6.7,,1957,22,5.1,9,9.7,0.45,15.37,0.71,31,1.43,28.31,1.3,7,5.67,0.26,2,0,0.0,5,0.23,12,7.0,576.0,572.1,554.2,2.0,2.0,1.0
142,109,Ben Mee,DEF,Brentford,i,4.7,39,1.1,Ankle injury - Expected back 01 Jun,1272,15,2.4,2,1.57,0.11,2.35,0.17,28,1.98,24.8,1.75,1,0.78,0.06,1,0,0.0,1,0.07,3,0.0,118.0,88.2,334.8,,,
143,110,Christian Nørgaard,MID,Brentford,a,5.2,74,0.1,,2504,30,2.4,2,3.61,0.13,6.05,0.22,51,1.83,43.31,1.56,1,2.44,0.09,8,0,0.0,6,0.22,3,2.5,316.0,396.2,501.8,,,
144,111,Frank Onyeka,MID,Brentford,d,4.9,39,0.0,Knock - 75% chance of playing,1147,11,1.5,1,2.09,0.16,3.53,0.27,27,2.12,21.94,1.72,2,1.44,0.11,8,0,0.0,1,0.08,0,0.0,189.0,178.3,259.0,,,
